card Number,billingStartDate,billingEndDate,paymentDueDate
Card21,7/13/2014,8/12/2014,8/27/2014
Card21,8/13/2014,9/12/2014,9/27/2014
Card21,8/13/2014,9/12/2014,9/27/2014
Card22,2/10/2014,3/12/2014,3/27/2014
Card22,3/13/2014,4/12/2014,4/27/2014
Card22,4/13/2014,5/12/2014,5/27/2014
Card22,5/13/2014,6/12/2014,6/27/2014
Card22,6/13/2014,7/12/2014,7/27/2014
Card22,7/13/2014,8/12/2014,8/27/2014
Card22,8/13/2014,9/12/2014,9/27/2014
Card23,2/10/2014,3/12/2014,3/27/2014
Card23,3/13/2014,4/12/2014,4/27/2014
Card23,4/13/2014,5/12/2014,5/27/2014
Card23,5/13/2014,6/12/2014,6/27/2014
Card23,6/13/2014,7/12/2014,7/27/2014
Card23,7/13/2014,8/12/2014,8/27/2014
Card23,8/13/2014,9/12/2014,9/27/2014
Card24,2/10/2014,3/12/2014,3/27/2014
Card24,3/13/2014,4/12/2014,4/27/2014
Card24,4/13/2014,5/12/2014,5/27/2014
Card24,5/13/2014,6/12/2014,6/27/2014
Card24,6/13/2014,7/12/2014,7/27/2014
Card24,7/13/2014,8/12/2014,8/27/2014
Card24,8/13/2014,9/12/2014,9/27/2014
Card25,2/10/2014,3/12/2014,3/27/2014
Card25,3/13/2014,4/12/2014,4/27/2014
Card25,4/13/2014,5/12/2014,5/27/2014
Card25,5/13/2014,6/12/2014,6/27/2014
Card25,6/13/2014,7/12/2014,7/27/2014
Card25,7/13/2014,8/12/2014,8/27/2014
Card25,8/13/2014,9/12/2014,9/27/2014
Card26,2/10/2014,3/12/2014,3/27/2014
Card26,3/13/2014,4/12/2014,4/27/2014
Card26,4/13/2014,5/12/2014,5/27/2014
Card26,5/13/2014,6/12/2014,6/27/2014
Card26,6/13/2014,7/12/2014,7/27/2014
Card26,7/13/2014,8/12/2014,8/27/2014
Card26,8/13/2014,9/12/2014,9/27/2014
Card27,3/13/2014,4/12/2014,4/27/2014
Card27,4/13/2014,5/12/2014,5/27/2014
Card27,5/13/2014,6/12/2014,6/27/2014
Card27,6/13/2014,7/12/2014,7/27/2014
Card27,7/13/2014,8/12/2014,8/27/2014
Card27,8/13/2014,9/12/2014,9/27/2014
Card28,2/10/2014,3/12/2014,3/27/2014
Card28,3/13/2014,4/12/2014,4/27/2014
Card28,4/13/2014,5/12/2014,5/27/2014
Card28,5/13/2014,6/12/2014,6/27/2014
Card28,6/13/2014,7/12/2014,7/27/2014
Card28,7/13/2014,8/12/2014,8/27/2014
Card28,8/13/2014,9/12/2014,9/27/2014
Card29,2/10/2014,3/12/2014,3/27/2014
Card29,3/13/2014,4/12/2014,4/27/2014
Card29,4/13/2014,5/12/2014,5/27/2014
Card29,5/13/2014,6/12/2014,6/27/2014
Card29,6/13/2014,7/12/2014,7/27/2014
Card29,7/13/2014,8/12/2014,8/27/2014
Card29,8/13/2014,9/12/2014,9/27/2014
Card30,3/13/2014,4/12/2014,4/27/2014
Card30,4/13/2014,5/12/2014,5/27/2014
Card30,5/13/2014,6/12/2014,6/27/2014
Card30,6/13/2014,7/12/2014,7/27/2014
Card30,7/13/2014,8/12/2014,8/27/2014
Card30,8/13/2014,9/12/2014,9/27/2014
Card31,2/10/2014,3/12/2014,3/27/2014
Card31,3/13/2014,4/12/2014,4/27/2014
Card31,4/13/2014,5/12/2014,5/27/2014
Card31,5/13/2014,6/12/2014,6/27/2014
Card31,6/13/2014,7/12/2014,7/27/2014
Card31,7/13/2014,8/12/2014,8/27/2014
Card31,8/13/2014,9/12/2014,9/27/2014
Card32,2/10/2014,3/12/2014,3/27/2014
Card32,3/13/2014,4/12/2014,4/27/2014
Card32,4/13/2014,5/12/2014,5/27/2014
Card32,5/13/2014,6/12/2014,6/27/2014
Card32,6/13/2014,7/12/2014,7/27/2014
Card32,7/13/2014,8/12/2014,8/27/2014
Card32,8/13/2014,9/12/2014,9/27/2014
Card33,2/10/2014,3/12/2014,3/27/2014
Card33,3/13/2014,4/12/2014,4/27/2014
Card33,4/13/2014,5/12/2014,5/27/2014
Card33,5/13/2014,6/12/2014,6/27/2014
Card33,6/13/2014,7/12/2014,7/27/2014
Card33,7/13/2014,8/12/2014,8/27/2014
Card33,8/13/2014,9/12/2014,9/27/2014
Card34,2/10/2014,3/12/2014,3/27/2014
Card34,3/13/2014,4/12/2014,4/27/2014
Card34,4/13/2014,5/12/2014,5/27/2014
Card34,5/13/2014,6/12/2014,6/27/2014
Card34,6/13/2014,7/12/2014,7/27/2014
Card34,7/13/2014,8/12/2014,8/27/2014
Card34,8/13/2014,9/12/2014,9/27/2014
Card35,2/10/2014,3/12/2014,3/27/2014
Card35,3/13/2014,4/12/2014,4/27/2014
Card35,4/13/2014,5/12/2014,5/27/2014
Card35,5/13/2014,6/12/2014,6/27/2014
Card35,6/13/2014,7/12/2014,7/27/2014
Card35,7/13/2014,8/12/2014,8/27/2014
Card35,8/13/2014,9/12/2014,9/27/2014
Card36,2/10/2014,3/12/2014,3/27/2014
Card36,3/13/2014,4/12/2014,4/27/2014
Card36,4/13/2014,5/12/2014,5/27/2014
Card36,5/13/2014,6/12/2014,6/27/2014
Card36,6/13/2014,7/12/2014,7/27/2014
Card36,7/13/2014,8/12/2014,8/27/2014
Card36,8/13/2014,9/12/2014,9/27/2014
Card37,3/13/2014,4/12/2014,4/27/2014
Card37,4/13/2014,5/12/2014,5/27/2014
Card37,5/13/2014,6/12/2014,6/27/2014
Card37,6/13/2014,7/12/2014,7/27/2014
Card37,7/13/2014,8/12/2014,8/27/2014
Card37,8/13/2014,10/10/2014,10/25/2014
Card38,2/10/2014,3/12/2014,3/27/2014
Card38,3/13/2014,4/12/2014,4/27/2014
Card38,4/13/2014,5/12/2014,5/27/2014
Card38,5/13/2014,6/12/2014,6/27/2014
Card38,6/13/2014,7/12/2014,7/27/2014
Card38,7/13/2014,8/12/2014,8/27/2014
Card38,8/13/2014,9/12/2014,9/27/2014
Card39,2/10/2014,3/12/2014,3/27/2014
Card39,3/13/2014,4/12/2014,4/27/2014
Card39,4/13/2014,5/12/2014,5/27/2014
Card39,5/13/2014,6/12/2014,6/27/2014
Card39,6/13/2014,7/12/2014,7/27/2014
Card39,7/13/2014,8/12/2014,8/27/2014
Card39,8/13/2014,9/12/2014,9/27/2014
Card40,2/10/2014,3/12/2014,3/27/2014
Card40,3/13/2014,4/12/2014,4/27/2014
Card40,4/13/2014,5/12/2014,5/27/2014
Card40,5/13/2014,6/12/2014,6/27/2014
Card40,6/13/2014,7/12/2014,7/27/2014
Card40,7/13/2014,8/12/2014,8/27/2014
Card40,8/13/2014,9/12/2014,9/27/2014
Card41,2/10/2014,3/12/2014,3/27/2014
Card41,3/13/2014,4/12/2014,4/27/2014
Card41,4/13/2014,5/12/2014,5/27/2014
Card41,5/13/2014,6/12/2014,6/27/2014
Card41,6/13/2014,7/12/2014,7/27/2014
Card41,7/13/2014,8/12/2014,8/27/2014
Card41,8/13/2014,9/12/2014,9/27/2014
Card42,2/10/2014,3/12/2014,3/27/2014
Card42,3/13/2014,4/12/2014,4/27/2014
Card42,4/13/2014,5/12/2014,5/27/2014
Card42,5/13/2014,6/12/2014,6/27/2014
Card42,6/13/2014,7/12/2014,7/27/2014
Card42,7/13/2014,8/12/2014,8/27/2014
Card42,8/13/2014,9/12/2014,9/27/2014
Card43,2/10/2014,3/12/2014,3/27/2014
Card43,3/13/2014,4/12/2014,4/27/2014
Card43,4/13/2014,5/12/2014,5/27/2014
Card43,5/13/2014,6/12/2014,6/27/2014
Card43,6/13/2014,7/12/2014,7/27/2014
Card43,7/13/2014,8/12/2014,8/27/2014
Card43,8/13/2014,9/12/2014,9/27/2014
Card44,2/10/2014,3/12/2014,3/27/2014
Card44,3/13/2014,4/12/2014,4/27/2014
Card44,4/13/2014,5/12/2014,5/27/2014
Card44,5/13/2014,6/12/2014,6/27/2014
Card44,6/13/2014,7/12/2014,7/27/2014
Card44,7/13/2014,8/12/2014,8/27/2014
Card44,8/13/2014,9/12/2014,9/27/2014
Card45,2/10/2014,3/12/2014,3/27/2014
Card45,3/13/2014,4/12/2014,4/27/2014
Card45,4/13/2014,5/12/2014,5/27/2014
Card45,5/13/2014,6/12/2014,6/27/2014
Card45,6/13/2014,7/12/2014,7/27/2014
Card45,7/13/2014,8/12/2014,8/27/2014
Card45,8/13/2014,9/12/2014,9/27/2014
Card46,2/10/2014,3/12/2014,3/27/2014
Card46,3/13/2014,4/12/2014,4/27/2014
Card46,4/13/2014,5/12/2014,5/27/2014
Card46,5/13/2014,6/12/2014,6/27/2014
Card46,6/13/2014,7/12/2014,7/27/2014
Card46,7/13/2014,8/12/2014,8/27/2014
Card46,8/13/2014,9/12/2014,9/27/2014
Card47,2/10/2014,3/12/2014,3/27/2014
Card47,3/13/2014,4/12/2014,4/27/2014
Card47,4/13/2014,5/12/2014,5/27/2014
Card47,5/13/2014,6/12/2014,6/27/2014
Card47,6/13/2014,7/12/2014,7/27/2014
Card47,7/13/2014,8/12/2014,8/27/2014
Card47,8/13/2014,10/10/2014,10/25/2014
Card48,2/10/2014,3/12/2014,3/27/2014
Card48,3/13/2014,4/12/2014,4/27/2014
Card48,4/13/2014,5/12/2014,5/27/2014
Card48,5/13/2014,6/12/2014,6/27/2014
Card48,6/13/2014,7/12/2014,7/27/2014
Card48,7/13/2014,8/12/2014,8/27/2014
Card48,8/13/2014,9/12/2014,9/27/2014
Card49,3/13/2014,4/12/2014,4/27/2014
Card49,4/13/2014,5/12/2014,5/27/2014
Card49,5/13/2014,6/12/2014,6/27/2014
Card49,6/13/2014,7/12/2014,7/27/2014
Card49,7/13/2014,8/12/2014,8/27/2014
Card49,8/13/2014,9/12/2014,9/27/2014
Card50,2/10/2014,3/12/2014,3/27/2014
Card50,3/13/2014,4/12/2014,4/27/2014
Card50,4/13/2014,5/12/2014,5/27/2014
Card50,5/13/2014,6/12/2014,6/27/2014
Card50,6/13/2014,7/12/2014,7/27/2014
Card50,7/13/2014,8/12/2014,8/27/2014
Card50,8/13/2014,10/10/2014,10/25/2014
Card51,2/10/2014,3/12/2014,3/27/2014
Card51,3/13/2014,4/12/2014,4/27/2014
Card51,4/13/2014,5/12/2014,5/27/2014
Card51,5/13/2014,6/12/2014,6/27/2014
Card51,6/13/2014,7/12/2014,7/27/2014
Card51,7/13/2014,8/12/2014,8/27/2014
Card51,8/13/2014,9/12/2014,9/27/2014
Card52,2/10/2014,3/12/2014,3/27/2014
Card52,3/13/2014,4/12/2014,4/27/2014
Card52,4/13/2014,5/12/2014,5/27/2014
Card52,5/13/2014,6/12/2014,6/27/2014
Card52,6/13/2014,7/12/2014,7/27/2014
Card52,7/13/2014,8/12/2014,8/27/2014
Card52,8/13/2014,9/12/2014,9/27/2014
Card53,2/10/2014,3/12/2014,3/27/2014
Card53,3/13/2014,4/12/2014,4/27/2014
Card53,4/13/2014,5/12/2014,5/27/2014
Card53,5/13/2014,6/12/2014,6/27/2014
Card53,6/13/2014,7/12/2014,7/27/2014
Card53,7/13/2014,8/12/2014,8/27/2014
Card53,8/13/2014,9/12/2014,9/27/2014
Card54,3/13/2014,4/12/2014,4/27/2014
Card54,4/13/2014,5/12/2014,5/27/2014
Card54,5/13/2014,6/12/2014,6/27/2014
Card54,6/13/2014,7/12/2014,7/27/2014
Card54,7/13/2014,8/12/2014,8/27/2014
Card54,8/13/2014,9/12/2014,9/27/2014
Card55,5/13/2014,6/12/2014,6/27/2014
Card55,6/13/2014,7/12/2014,7/27/2014
Card55,7/13/2014,8/12/2014,8/27/2014
Card55,8/13/2014,9/12/2014,9/27/2014
Card56,2/10/2014,3/12/2014,3/27/2014
Card56,3/13/2014,4/12/2014,4/27/2014
Card56,4/13/2014,5/12/2014,5/27/2014
Card56,5/13/2014,6/12/2014,6/27/2014
Card56,6/13/2014,7/12/2014,7/27/2014
Card56,7/13/2014,8/12/2014,8/27/2014
Card56,8/13/2014,9/12/2014,9/27/2014
Card57,3/13/2014,4/12/2014,4/27/2014
Card57,4/13/2014,5/12/2014,5/27/2014
Card57,5/13/2014,6/12/2014,6/27/2014
Card57,6/13/2014,7/12/2014,7/27/2014
Card57,7/13/2014,8/12/2014,8/27/2014
Card57,8/13/2014,9/12/2014,9/27/2014
Card58,2/10/2014,3/12/2014,3/27/2014
Card58,3/13/2014,4/12/2014,4/27/2014
Card58,4/13/2014,5/12/2014,5/27/2014
Card58,5/13/2014,6/12/2014,6/27/2014
Card58,6/13/2014,7/12/2014,7/27/2014
Card58,7/13/2014,8/12/2014,8/27/2014
Card58,8/13/2014,9/12/2014,9/27/2014
Card59,2/10/2014,3/12/2014,3/27/2014
Card59,3/13/2014,4/12/2014,4/27/2014
Card59,4/13/2014,5/12/2014,5/27/2014
Card59,5/13/2014,6/12/2014,6/27/2014
Card59,6/13/2014,7/12/2014,7/27/2014
Card59,7/13/2014,8/12/2014,8/27/2014
Card59,8/13/2014,9/12/2014,9/27/2014
Card60,2/10/2014,3/12/2014,3/27/2014
Card60,3/13/2014,4/12/2014,4/27/2014
Card60,4/13/2014,5/12/2014,5/27/2014
Card60,5/13/2014,6/12/2014,6/27/2014
Card60,6/13/2014,7/12/2014,7/27/2014
Card60,7/13/2014,8/12/2014,8/27/2014
Card60,8/13/2014,9/12/2014,9/27/2014
Card61,3/13/2014,4/12/2014,4/27/2014
Card61,4/13/2014,5/12/2014,5/27/2014
Card61,5/13/2014,6/12/2014,6/27/2014
Card61,6/13/2014,7/12/2014,7/27/2014
Card61,7/13/2014,8/12/2014,8/27/2014
Card61,8/13/2014,10/10/2014,10/25/2014
Card62,2/10/2014,3/12/2014,3/27/2014
Card62,3/13/2014,4/12/2014,4/27/2014
Card62,4/13/2014,5/12/2014,5/27/2014
Card62,5/13/2014,6/12/2014,6/27/2014
Card62,6/13/2014,7/12/2014,7/27/2014
Card62,7/13/2014,8/12/2014,8/27/2014
Card62,8/13/2014,9/12/2014,9/27/2014
Card63,2/10/2014,3/12/2014,3/27/2014
Card63,3/13/2014,4/12/2014,4/27/2014
Card63,4/13/2014,5/12/2014,5/27/2014
Card63,5/13/2014,6/12/2014,6/27/2014
Card63,6/13/2014,7/12/2014,7/27/2014
Card63,7/13/2014,8/12/2014,8/27/2014
Card63,8/13/2014,10/10/2014,10/25/2014
Card64,2/10/2014,3/12/2014,3/27/2014
Card64,3/13/2014,4/12/2014,4/27/2014
Card64,4/13/2014,5/12/2014,5/27/2014
Card64,5/13/2014,6/12/2014,6/27/2014
Card64,6/13/2014,7/12/2014,7/27/2014
Card64,7/13/2014,8/12/2014,8/27/2014
Card64,8/13/2014,9/12/2014,9/27/2014
Card65,3/13/2014,4/12/2014,4/27/2014
Card65,4/13/2014,5/12/2014,5/27/2014
Card65,5/13/2014,6/12/2014,6/27/2014
Card65,6/13/2014,7/12/2014,7/27/2014
Card65,7/13/2014,8/12/2014,8/27/2014
Card65,8/13/2014,9/12/2014,9/27/2014
Card66,2/10/2014,3/12/2014,3/27/2014
Card66,3/13/2014,4/12/2014,4/27/2014
Card66,4/13/2014,5/12/2014,5/27/2014
Card66,5/13/2014,6/12/2014,6/27/2014
Card66,6/13/2014,7/12/2014,7/27/2014
Card66,7/13/2014,8/12/2014,8/27/2014
Card66,8/13/2014,9/12/2014,9/27/2014
Card67,2/10/2014,3/12/2014,3/27/2014
Card67,3/13/2014,4/12/2014,4/27/2014
Card67,4/13/2014,5/12/2014,5/27/2014
Card67,5/13/2014,6/12/2014,6/27/2014
Card67,6/13/2014,7/12/2014,7/27/2014
Card67,7/13/2014,8/12/2014,8/27/2014
Card67,8/13/2014,9/12/2014,9/27/2014
Card68,3/13/2014,4/12/2014,4/27/2014
Card68,4/13/2014,5/12/2014,5/27/2014
Card68,5/13/2014,6/12/2014,6/27/2014
Card68,6/13/2014,7/12/2014,7/27/2014
Card68,7/13/2014,8/12/2014,8/27/2014
Card68,8/13/2014,9/12/2014,9/27/2014
Card69,3/13/2014,4/12/2014,4/27/2014
Card69,4/13/2014,5/12/2014,5/27/2014
Card69,5/13/2014,6/12/2014,6/27/2014
Card69,6/13/2014,7/12/2014,7/27/2014
Card69,7/13/2014,8/12/2014,8/27/2014
Card69,8/13/2014,9/12/2014,9/27/2014
Card70,3/13/2014,4/12/2014,4/27/2014
Card70,4/13/2014,5/12/2014,5/27/2014
Card70,5/13/2014,6/12/2014,6/27/2014
Card70,6/13/2014,7/12/2014,7/27/2014
Card70,7/13/2014,8/12/2014,8/27/2014
Card70,8/13/2014,9/12/2014,9/27/2014
Card71,2/10/2014,3/12/2014,3/27/2014
Card71,3/13/2014,4/12/2014,4/27/2014
Card71,4/13/2014,5/12/2014,5/27/2014
Card71,5/13/2014,6/12/2014,6/27/2014
Card71,6/13/2014,7/12/2014,7/27/2014
Card71,7/13/2014,8/12/2014,8/27/2014
Card71,8/13/2014,9/12/2014,9/27/2014
Card72,2/10/2014,3/12/2014,3/27/2014
Card72,3/13/2014,4/12/2014,4/27/2014
Card72,4/13/2014,5/12/2014,5/27/2014
Card72,5/13/2014,6/12/2014,6/27/2014
Card72,6/13/2014,7/12/2014,7/27/2014
Card72,7/13/2014,8/12/2014,8/27/2014
Card72,8/13/2014,9/12/2014,9/27/2014
Card73,3/13/2014,4/12/2014,4/27/2014
Card73,4/13/2014,5/12/2014,5/27/2014
Card73,5/13/2014,6/12/2014,6/27/2014
Card73,6/13/2014,7/12/2014,7/27/2014
Card73,7/13/2014,8/12/2014,8/27/2014
Card73,8/13/2014,9/12/2014,9/27/2014
Card74,2/10/2014,3/12/2014,3/27/2014
Card74,3/13/2014,4/12/2014,4/27/2014
Card74,4/13/2014,5/12/2014,5/27/2014
Card74,5/13/2014,6/12/2014,6/27/2014
Card74,6/13/2014,7/12/2014,7/27/2014
Card74,7/13/2014,8/12/2014,8/27/2014
Card74,8/13/2014,9/12/2014,9/27/2014
Card75,2/10/2014,3/12/2014,3/27/2014
Card75,3/13/2014,4/12/2014,4/27/2014
Card75,4/13/2014,5/12/2014,5/27/2014
Card75,5/13/2014,6/12/2014,6/27/2014
Card75,6/13/2014,7/12/2014,7/27/2014
Card75,7/13/2014,8/12/2014,8/27/2014
Card75,8/13/2014,9/12/2014,9/27/2014
Card76,2/10/2014,3/12/2014,3/27/2014
Card76,3/13/2014,4/12/2014,4/27/2014
Card76,4/13/2014,5/12/2014,5/27/2014
Card76,5/13/2014,6/12/2014,6/27/2014
Card76,6/13/2014,7/12/2014,7/27/2014
Card76,7/13/2014,8/12/2014,8/27/2014
Card76,8/13/2014,9/12/2014,9/27/2014
Card77,2/10/2014,3/12/2014,3/27/2014
Card77,3/13/2014,4/12/2014,4/27/2014
Card77,4/13/2014,5/12/2014,5/27/2014
Card77,5/13/2014,6/12/2014,6/27/2014
Card77,6/13/2014,7/12/2014,7/27/2014
Card77,7/13/2014,8/12/2014,8/27/2014
Card77,8/13/2014,10/10/2014,10/25/2014
Card78,2/10/2014,3/12/2014,3/27/2014
Card78,3/13/2014,4/12/2014,4/27/2014
Card78,4/13/2014,5/12/2014,5/27/2014
Card78,5/13/2014,6/12/2014,6/27/2014
Card78,6/13/2014,7/12/2014,7/27/2014
Card78,7/13/2014,8/12/2014,8/27/2014
Card78,8/13/2014,9/12/2014,9/27/2014
Card79,3/13/2014,4/12/2014,4/27/2014
Card79,4/13/2014,5/12/2014,5/27/2014
Card79,5/13/2014,6/12/2014,6/27/2014
Card79,6/13/2014,7/12/2014,7/27/2014
Card79,7/13/2014,8/12/2014,8/27/2014
Card79,8/13/2014,9/12/2014,9/27/2014
Card80,2/10/2014,3/12/2014,3/27/2014
Card80,3/13/2014,4/12/2014,4/27/2014
Card80,4/13/2014,5/12/2014,5/27/2014
Card80,5/13/2014,6/12/2014,6/27/2014
Card80,6/13/2014,7/12/2014,7/27/2014
Card80,7/13/2014,8/12/2014,8/27/2014
Card80,8/13/2014,9/12/2014,9/27/2014
Card81,2/10/2014,3/12/2014,3/27/2014
Card81,3/13/2014,4/12/2014,4/27/2014
Card81,4/13/2014,5/12/2014,5/27/2014
Card81,5/13/2014,6/12/2014,6/27/2014
Card81,6/13/2014,7/12/2014,7/27/2014
Card81,7/13/2014,8/12/2014,8/27/2014
Card81,8/13/2014,9/12/2014,9/27/2014
Card82,2/10/2014,3/12/2014,3/27/2014
Card82,3/13/2014,4/12/2014,4/27/2014
Card82,4/13/2014,5/12/2014,5/27/2014
Card82,5/13/2014,6/12/2014,6/27/2014
Card82,6/13/2014,7/12/2014,7/27/2014
Card82,7/13/2014,8/12/2014,8/27/2014
