card number,rank
Card468,783
Card469,223
Card47,336
Card470,1019
Card471,812
Card472,412
Card473,978
Card474,981
Card475,1085
Card476,467
Card477,861
Card478,673
Card479,505
Card48,578
Card480,414
Card481,20
Card482,388
Card483,1013
Card484,267
Card485,882
Card486,340
Card487,297
Card488,754
Card489,885
Card490,389
Card491,909
Card492,1079
Card493,755
Card494,533
Card495,180
Card496,238
Card497,531
Card498,853
Card499,924
Card5,70
Card50,165
Card500,595
Card501,1050
Card502,805
Card503,46
Card504,616
Card505,484
Card506,140
Card507,76
Card508,6
Card509,103
Card51,305
Card510,370
Card511,904
Card512,65
Card513,982
Card514,594
Card515,1029
Card516,435
Card517,759
Card518,276
Card519,343
Card52,918
Card520,1005
Card521,764
Card522,588
Card523,718
Card524,649
Card525,358
Card526,671
Card527,733
Card528,743
Card529,970
Card530,690
Card531,315
Card532,638
Card533,920
Card534,792
Card535,288
Card536,875
Card537,1072
Card538,657
Card539,833
Card540,81
Card541,737
Card542,265
Card543,274
Card544,724
Card545,745
Card546,487
Card547,580
Card548,747
Card549,804
Card550,1101
Card551,518
Card552,232
Card553,507
Card554,583
Card555,504
Card556,571
Card557,796
Card558,998
Card559,329
Card56,182
Card560,457
Card561,614
Card563,567
Card564,517
Card565,241
Card566,647
Card567,631
Card568,838
Card569,564
Card57,490
Card570,986
Card571,847
Card572,607
Card573,1107
Card574,7
Card575,701
Card576,346
Card577,871
Card578,695
Card579,667
Card58,64
Card580,680
Card581,500
Card582,164
Card583,100
Card584,994
Card585,106
Card587,227
Card588,590
Card589,897
Card59,115
Card590,44
Card591,187
Card592,477
Card593,19
Card594,908
Card595,299
Card596,179
Card597,75
Card598,581
Card599,375
Card6,80
Card60,281
Card600,498
Card601,87
Card602,443
Card603,124
Card604,543
Card605,150
Card606,1091
Card607,1002
Card608,496
Card609,266
Card61,538
Card610,898
Card611,771
Card612,1058
Card613,314
Card614,186
Card615,349
Card616,327
Card617,351
Card618,250
Card619,410
Card62,872
Card620,778
Card621,291
Card622,841
Card623,658
Card624,320
Card625,641
Card626,742
Card627,740
Card628,686
Card629,458
Card63,449
Card630,719
Card631,308
Card632,808
Card633,377
Card634,704
Card635,589
Card636,198
Card637,1036
Card638,381
Card639,915
Card64,135
Card640,448
Card641,935
Card642,777
Card643,1069
Card644,280
Card645,1067
Card646,420
Card647,596
Card648,922
Card649,622
Card650,428
Card651,456
Card652,702
Card653,283
Card654,359
Card655,752
Card656,380
Card657,334
Card658,447
Card659,842
Card66,527
Card660,886
Card661,537
Card662,230
Card663,384
Card664,10
Card665,736
Card666,479
Card667,1049
Card668,302
Card669,626
Card67,90
Card670,962
Card671,645
Card672,301
Card673,1098
Card674,37
Card675,161
Card676,79
Card677,313
Card678,890
Card679,748
Card68,213
Card680,750
Card681,621
Card682,287
Card683,913
Card684,217
Card685,421
Card686,245
Card687,639
Card688,1073
Card689,224
Card690,948
Card691,3
Card692,1096
Card693,190
Card695,376
Card696,102
Card697,941
Card698,653
Card699,664
Card7,1094
Card70,174
Card701,983
Card702,93
Card703,45
Card704,451
Card705,1083
Card706,585
Card707,711
Card708,105
Card709,240
Card71,141
Card710,208
Card711,1032
Card712,665
Card713,598
Card714,473
Card715,910
Card717,586
Card718,354
Card719,707
Card72,252
Card721,1020
Card722,355
Card723,968
Card724,284
Card725,405
Card726,434
Card727,821
Card728,634
Card729,1106
Card73,697
Card730,239
Card731,462
Card732,445
Card733,636
Card734,126
Card735,319
Card736,489
Card737,460
Card738,185
Card739,295
Card74,454
Card740,268
Card741,431
Card742,356
Card743,684
Card744,193
Card745,721
Card746,766
Card747,486
Card749,49
Card75,121
Card750,618
Card751,404
Card752,493
Card753,781
Card754,474
Card755,559
Card757,857
Card758,887
Card759,550
Card76,1105
Card760,192
Card761,333
Card762,5
Card763,212
Card764,601
Card765,419
Card766,694
Card767,1082
Card768,1102
Card769,323
Card77,256
Card770,304
Card771,1062
Card772,556
Card773,975
Card774,353
Card775,368
Card776,40
Card777,627
Card778,995
Card779,682
Card78,749
Card780,366
Card781,779
Card782,562
Card783,587
Card784,189
Card785,761
Card786,654
Card787,757
Card788,372
Card789,391
Card79,338
Card790,367
Card791,270
Card792,386
Card793,158
Card794,483
Card795,623
Card796,220
Card797,261
Card798,1081
Card799,360
Card8,184
Card80,170
Card800,475
Card801,784
Card802,195
Card803,69
Card804,520
Card805,335
Card806,92
Card807,118
Card808,218
Card809,18
Card81,59
Card810,485
Card811,868
Card812,242
Card813,600
Card814,60
Card815,529
Card816,30
Card817,756
Card818,1055
Card819,532
Card82,390
Card820,113
Card821,503
Card822,723
Card823,515
Card824,991
Card825,715
Card826,996
Card827,209
Card828,732
Card829,510
Card83,138
Card830,127
Card831,202
Card832,107
Card833,176
Card834,905
Card835,82
Card836,325
Card837,383
Card838,369
Card839,348
Card84,63
Card840,432
Card841,203
Card842,883
Card843,494
Card844,822
Card845,306
Card847,643
Card848,72
Card849,828
Card85,181
Card850,123
Card851,97
Card852,292
Card853,211
Card854,131
Card855,33
Card856,802
Card857,418
Card858,429
Card859,560
Card86,194
Card860,56
Card861,780
Card862,243
Card863,1100
Card864,1108
Card865,801
Card866,347
Card867,162
Card869,1066
Card87,961
Card870,512
Card871,1086
Card872,884
Card873,441
Card874,11
Card875,350
Card876,78
Card877,365
Card878,130
Card879,469
Card88,526
Card880,362
Card881,468
Card882,396
Card883,197
Card884,67
Card885,172
Card886,397
Card887,39
Card888,611
Card889,139
Card89,406
Card890,455
Card891,207
Card892,173
Card893,624
Card894,50
Card895,635
Card896,536
Card897,322
Card898,1109
Card899,459
Card9,31
Card90,163
Card900,152
Card901,739
Card902,129
Card903,155
Card904,877
Card905,364
Card906,524
Card907,413
Card908,188
Card909,782
Card910,713
Card911,269
Card912,226
Card913,403
Card914,758
Card915,61
Card916,646
Card917,663
Card918,298
Card919,411
Card92,253
Card920,705
Card921,254
Card922,166
Card923,437
Card924,332
Card925,668
Card926,183
Card927,1088
Card928,231
Card929,27
Card93,263
Card930,248
Card931,17
Card932,29
Card933,612
Card934,237
Card935,1087
Card936,548
Card937,214
Card938,352
Card939,652
Card94,716
Card940,772
Card941,835
Card942,1113
Card943,464
Card944,513
Card946,914
Card947,669
Card948,8
Card949,889
Card950,679
Card952,399
Card953,803
Card954,71
Card955,144
Card956,797
Card957,1061
Card958,423
Card959,16
Card96,1084
Card960,906
Card961,171
Card962,408
Card963,54
Card964,36
Card965,62
Card966,210
Card967,148
Card968,48
Card969,790
Card97,96
Card970,379
Card971,894
Card972,794
Card973,799
Card974,523
Card975,858
Card976,659
Card977,1037
Card978,957
Card979,973
Card98,387
Card980,1015
Card981,1014
Card982,997
Card983,1044
Card984,1043
Card985,677
Card986,734
Card987,463
Card988,717
Card989,119
Card99,55
Card990,472
Card991,856
Card992,936
Card993,549
Card994,85
Card995,444
Card996,815
Card997,980
Card998,260
Card999,860
